emage_id,assay_type,probe_id,name,strain,type,theilerstage,dpc
413,in situ,MGI:1314717,emage,(C57BL/6 x SJL) F1,wholemount,15,28 Somite no.
414,in situ,MGI:1098113,emage,C57BL/6 x DBA/2,section,15,9.7 dpc
415,in situ,MGI:1303143,emage,(C57BL/6 x SJL) F1,wholemount,17,10.5 dpc
416,in situ,MGI:1303143,emage,(C57BL/6 x SJL) F1,wholemount,15,25 Somite no.
417,in situ,MGI:1303143,emage,(C57BL/6 x SJL) F1,wholemount,15,28 Somite no.
418,in situ,MGI:1303143,emage,(C57BL/6 x SJL) F1,wholemount,17,34 Somite no.
419,in situ,MGI:9304,emage,Swiss Webster,wholemount,12,7 Somite no.
420,in situ,MGI:29788,emage,Swiss,section,15,9.5 dpc
421,in situ,MGI:9304,emage,Swiss Webster,section,17,10.5 dpc
422,in situ,MGI:9304,emage,Swiss Webster,section,15,9.5 dpc
423,in situ,MGI:1930287,emage,,wholemount,21,13.5 dpc
424,in situ,MGI:1929233,emage,C57BL/6J,section,21,13.5 dpc
425,in situ,MGI:2157817,emage,,section,17,10.5 dpc
426,in situ,MGI:2157816,emage,,section,22,13.5 dpc
427,in situ,MGI:2157811,emage,,section,22,13.5 dpc
429,in situ,MGI:1327256,emage,,wholemount,13,8.5 dpc
430,in situ,MGI:1935102,emage,OF1,wholemount,15,9.5 dpc
431,in situ,MGI:1935102,emage,,section,15,9.5 dpc
432,in situ,MGI:1935102,emage,OF1,section,17,10.5 dpc
433,in situ,MGI:1935102,emage,OF1,section,21,13.5 dpc
434,in situ,MGI:2157814,emage,,section,16,10 dpc
435,in situ,MGI:2157814,emage,,section,19,11.5 dpc
438,in situ,MGI:18808,emage,,section,18,10.5 dpc
439,in situ,MGI:12281,emage,Swiss Webster,section,23,15.5 dpc
440,in situ,MGI:12281,emage,Swiss Webster,section,25,17.5 dpc
441,in situ,MGI:12281,emage,Swiss Webster,section,25,17.5 dpc
442,in situ,MGI:12281,emage,,wholemount,21,13.5 dpc
443,in situ,MGI:12281,emage,CD1,sectioned wholemount,20,12.5 dpc
444,in situ,MGI:12281,emage,,section,20,11.5-12.5 dpc
445,in situ,MGI:12281,emage,,wholemount,19,11.5 dpc
447,in situ,MGI:2149798,emage,,wholemount,15,9.5 dpc
453,in situ,MGI:1276127,emage,,wholemount,15,9.5 dpc
454,in situ,MGI:1342960,emage,Parkes x NIH,section,20,12.5 dpc
455,in situ,MGI:29788,emage,,section,12,8.0 dpc
456,in situ,MGI:2179820,emage,NMRI,section,25,17 dpc
457,in situ,MGI:2385688,emage,Swiss,section,20,12.5 dpc
458,in situ,MGI:1342961,emage,Parkes x NIH,section,20,12.5 dpc
459,in situ,MGI:1333120,emage,,wholemount,15,8.5 dpc
461,in situ,MGI:9015,emage,,wholemount,15,9.5 dpc
462,in situ,MGI:1202921,emage,,wholemount,17,10.5 dpc
463,in situ,MGI:1202921,emage,,section,19,11.5 dpc
467,in situ,MGI:1332853,emage,129P2/Ola x C57BL/6,wholemount plus section of wholemount,17,10.5 dpc
468,in situ,MGI:1201629,emage,,section,19,11.5 dpc
469,in situ,MGI:2155101,emage,,section,19,11.5 dpc
470,in situ,MGI:2155108,emage,,section,19,11.5 dpc
476,in situ,MGI:1332853,emage,129P2/Ola x C57BL/6,wholemount plus section of wholemount,17,10.5 dpc
520,in situ,MGI:2155350,emage,MF1,section,14,8.5 dpc
554,in situ,MGI:2678346,emage,MF1,section,11,7.5 dpc
555,in situ,MGI:2678346,emage,MF1,section,14,8.5 dpc
556,in situ,MGI:267834,emage,MF1,section,9,6.5 dpc
565,in situ,MGI:2678346,emage,,section,9,6.5 dpc
566,in situ,MGI:2678346,emage,,section,11,7.5 dpc
567,in situ,MGI:2678346,emage,,section,12,8.0 dpc
600,in situ,AFP probe1,emage,,wholemount,10,7.0 dpc
601,in situ,AFP probeA,emage,,wholemount,11,7.5 dpc
602,in situ,MGI:9015,emage,,wholemount,11,EHF Downs & Davies
603,in situ,Cer1 cloneA,emage,,wholemount,11,7.5 dpc
604,in situ,Bmp4 cloneA,emage,,wholemount,9,6.5 dpc
605,in situ,Hhex cloneA,emage,,wholemount,10,7.5 dpc
606,in situ,Sox1 cloneA,emage,,wholemount,12,
607,in situ,Sox1 cloneA,emage,,wholemount,14,17 Somite no.
608,in situ,T cloneA,emage,,wholemount,14,16 Somite no.
609,in situ,Nkx2-5 cloneA,emage,,wholemount,14,18 Somite no.
610,in situ,Otx2 cloneA,emage,,wholemount,11,EHF Downs & Davies
611,in situ,Otx2 cloneA,emage,,wholemount,12,
612,in situ,Otx2 cloneA,emage,,wholemount,14,20 Somite no.
613,in situ,Pax2 cloneA,emage,,wholemount,12,6 Somite no.
614,in situ,MGI:1202170,emage,,wholemount,14,14 Somite no.
615,in situ,MGI:1202170,emage,,wholemount,12,6 Somite no.
616,in situ,MGI:1202170,emage,,wholemount,11,7.5 dpc
617,in situ,MGI:1202170,emage,,wholemount,10,LS Downs & Davies
618,in situ,MGI:1202170,emage,,wholemount,9,6.5 dpc
619,in situ,Bmp7 probeA,emage,,wholemount,15,
620,in situ,Bmp7 probeA,emage,,wholemount,16,
621,in situ,Bmp7 probeA,emage,,wholemount,14,18 Somite no.
622,in situ,Bmp7 probeA,emage,,wholemount,11,
623,in situ,Bmp7 probeA,emage,,wholemount,10,
624,in situ,Bmp7 probeA,emage,,wholemount,12,
625,in situ,MGI:19210,emage,,wholemount,14,17 Somite no.
626,in situ,MGI:19210,emage,,wholemount,15,
627,in situ,MGI:1101193,emage,,wholemount,14,17 Somite no.
628,in situ,MGI:14954,emage,,wholemount,14,17 Somite no.
629,in situ,MGI:11030,emage,,wholemount,10,7.0 dpc
