Parent Term	Parent Term Accession	Start Stage of Parent Term	End Stage of Parent Term	Child Term	Child term Accession	End Stage of Child Term	Start Stage of Child Term
1-cell stage conceptus	EMAPA:36041	TS01	TS01	zona pellucida	EMAPA:16035	TS04	TS01
1-cell stage conceptus	EMAPA:36041	TS01	TS01	first polar body	EMAPA:16032	TS01	TS01
1-cell stage conceptus	EMAPA:36041	TS01	TS01	1-cell stage embryo	EMAPA:16033	TS01	TS01
1-cell stage conceptus	EMAPA:36041	TS01	TS01	second polar body	EMAPA:16034	TS04	TS01
1st branchial arch	EMAPA:16118	TS12	TS19	1st branchial arch mesenchyme	EMAPA:16128	TS18	TS12
1st branchial arch	EMAPA:16118	TS12	TS19	1st branchial arch mandibular component	EMAPA:16382	TS18	TS14
1st branchial arch	EMAPA:16118	TS12	TS19	1st branchial arch endoderm	EMAPA:16127	TS19	TS12
1st branchial arch	EMAPA:16118	TS12	TS19	1st branchial arch maxillary-mandibular groove	EMAPA:16394	TS18	TS14
1st branchial arch	EMAPA:16118	TS12	TS19	1st branchial membrane	EMAPA:16121	TS16	TS12
1st branchial arch	EMAPA:16118	TS12	TS19	1st branchial groove	EMAPA:16119	TS19	TS12
1st branchial arch	EMAPA:16118	TS12	TS19	1st branchial arch ectoderm	EMAPA:16126	TS18	TS12
1st branchial arch	EMAPA:16118	TS12	TS19	1st branchial pouch	EMAPA:16124	TS19	TS12
1st branchial arch	EMAPA:16118	TS12	TS19	1st branchial arch maxillary component	EMAPA:16388	TS18	TS14
1st branchial arch mandibular component	EMAPA:16382	TS14	TS18	1st branchial arch mandibular component endoderm	EMAPA:16384	TS18	TS14
1st branchial arch mandibular component	EMAPA:16382	TS14	TS18	1st branchial arch mandibular component ectoderm	EMAPA:16383	TS18	TS14
1st branchial arch mandibular component	EMAPA:16382	TS14	TS18	1st branchial arch mandibular component mesenchyme	EMAPA:16385	TS18	TS14
1st branchial arch mandibular component mesenchyme	EMAPA:16385	TS14	TS18	1st branchial arch mandibular component mesenchyme derived from neural crest	EMAPA:16387	TS18	TS14
1st branchial arch mandibular component mesenchyme	EMAPA:16385	TS14	TS18	1st branchial arch mandibular component mesenchyme derived from head mesoderm	EMAPA:16386	TS18	TS14
1st branchial arch maxillary component	EMAPA:16388	TS14	TS18	1st branchial arch maxillary component ectoderm	EMAPA:16389	TS18	TS14
1st branchial arch maxillary component	EMAPA:16388	TS14	TS18	1st branchial arch maxillary component mesenchyme	EMAPA:16391	TS18	TS14
1st branchial arch maxillary component	EMAPA:16388	TS14	TS18	1st branchial arch maxillary component endoderm	EMAPA:16390	TS18	TS14
1st branchial arch maxillary component mesenchyme	EMAPA:16391	TS14	TS18	1st branchial arch maxillary component mesenchyme derived from neural crest	EMAPA:16393	TS18	TS14
1st branchial arch maxillary component mesenchyme	EMAPA:16391	TS14	TS18	1st branchial arch maxillary component mesenchyme derived from head mesoderm	EMAPA:16392	TS18	TS14
1st branchial arch maxillary-mandibular groove	EMAPA:16394	TS14	TS18	1st branchial arch maxillary-mandibular groove ectoderm	EMAPA:16395	TS18	TS14
1st branchial arch mesenchyme	EMAPA:16128	TS12	TS18	1st branchial arch mesenchyme derived from head mesoderm	EMAPA:16130	TS18	TS12
1st branchial arch mesenchyme	EMAPA:16128	TS12	TS18	1st branchial arch mesenchyme derived from neural crest	EMAPA:16129	TS18	TS12
1st branchial groove	EMAPA:16119	TS12	TS19	1st branchial groove epithelium	EMAPA:17241	TS19	TS19
1st branchial groove	EMAPA:16119	TS12	TS19	1st branchial groove ectoderm	EMAPA:16120	TS18	TS12
1st branchial membrane	EMAPA:16121	TS12	TS16	1st branchial membrane endoderm	EMAPA:16123	TS16	TS12
1st branchial membrane	EMAPA:16121	TS12	TS16	1st branchial membrane ectoderm	EMAPA:16122	TS16	TS12
1st branchial pouch	EMAPA:16124	TS12	TS19	1st branchial pouch endoderm	EMAPA:16125	TS19	TS12
2-cell stage conceptus	EMAPA:36042	TS02	TS02	second polar body	EMAPA:16034	TS04	TS01
2-cell stage conceptus	EMAPA:36042	TS02	TS02	zona pellucida	EMAPA:16035	TS04	TS01
2-cell stage conceptus	EMAPA:36042	TS02	TS02	2-cell stage embryo	EMAPA:16036	TS02	TS02
2nd branchial arch	EMAPA:16272	TS13	TS19	2nd branchial arch epithelium	EMAPA:16882	TS17	TS17
2nd branchial arch	EMAPA:16272	TS13	TS19	2nd branchial arch endoderm	EMAPA:16278	TS19	TS13
2nd branchial arch	EMAPA:16272	TS13	TS19	2nd branchial membrane	EMAPA:16273	TS19	TS13
2nd branchial arch	EMAPA:16272	TS13	TS19	2nd branchial arch ectoderm	EMAPA:16277	TS19	TS13
2nd branchial arch	EMAPA:16272	TS13	TS19	2nd branchial pouch	EMAPA:16275	TS19	TS13
2nd branchial arch	EMAPA:16272	TS13	TS19	2nd branchial groove	EMAPA:16396	TS19	TS14
2nd branchial arch	EMAPA:16272	TS13	TS19	2nd branchial arch mesenchyme	EMAPA:16279	TS19	TS13
2nd branchial arch mesenchyme	EMAPA:16279	TS13	TS19	2nd branchial arch mesenchyme derived from neural crest	EMAPA:16281	TS19	TS13
2nd branchial arch mesenchyme	EMAPA:16279	TS13	TS19	2nd branchial arch mesenchyme derived from head mesoderm	EMAPA:16280	TS19	TS13
2nd branchial groove	EMAPA:16396	TS14	TS19	2nd branchial groove ectoderm	EMAPA:16397	TS19	TS14
2nd branchial membrane	EMAPA:16273	TS13	TS19	2nd branchial membrane endoderm	EMAPA:16274	TS19	TS13
2nd branchial membrane	EMAPA:16273	TS13	TS19	2nd branchial membrane ectoderm	EMAPA:16398	TS19	TS14
2nd branchial pouch	EMAPA:16275	TS13	TS19	2nd branchial pouch endoderm	EMAPA:16276	TS19	TS13
3rd branchial arch	EMAPA:16399	TS14	TS19	3rd branchial arch ectoderm	EMAPA:16400	TS19	TS14
3rd branchial arch	EMAPA:16399	TS14	TS19	3rd branchial membrane	EMAPA:16583	TS19	TS15
3rd branchial arch	EMAPA:16399	TS14	TS19	3rd branchial arch mesenchyme	EMAPA:16402	TS19	TS14
3rd branchial arch	EMAPA:16399	TS14	TS19	3rd branchial groove	EMAPA:16581	TS19	TS15
3rd branchial arch	EMAPA:16399	TS14	TS19	3rd branchial arch endoderm	EMAPA:16401	TS19	TS14
3rd branchial arch	EMAPA:16399	TS14	TS19	3rd branchial pouch	EMAPA:16586	TS19	TS15
3rd branchial arch mesenchyme	EMAPA:16402	TS14	TS19	3rd branchial arch mesenchyme derived from head mesoderm	EMAPA:16403	TS19	TS14
3rd branchial arch mesenchyme	EMAPA:16402	TS14	TS19	3rd branchial arch mesenchyme derived from neural crest	EMAPA:16404	TS19	TS14
3rd branchial groove	EMAPA:16581	TS15	TS19	3rd branchial groove ectoderm	EMAPA:16582	TS19	TS15
3rd branchial groove	EMAPA:16581	TS15	TS19	3rd branchial groove epithelium	EMAPA:16883	TS17	TS17
3rd branchial membrane	EMAPA:16583	TS15	TS19	3rd branchial membrane ectoderm	EMAPA:16584	TS19	TS15
3rd branchial membrane	EMAPA:16583	TS15	TS19	3rd branchial membrane endoderm	EMAPA:16585	TS19	TS15
3rd branchial pouch	EMAPA:16586	TS15	TS19	3rd branchial pouch endoderm	EMAPA:16587	TS19	TS15
3rd branchial pouch endoderm	EMAPA:16587	TS15	TS19	3rd branchial pouch dorsal endoderm	EMAPA:16758	TS19	TS16
3rd branchial pouch endoderm	EMAPA:16587	TS15	TS19	3rd branchial pouch ventral endoderm	EMAPA:16759	TS19	TS16
3rd ventricle	EMAPA:16900	TS17	TS28	diencephalic part of interventricular foramen	EMAPA:16901	TS26	TS17
3rd ventricle	EMAPA:16900	TS17	TS28	infundibular recess of 3rd ventricle	EMAPA:16899	TS19	TS17
3rd ventricle	EMAPA:16900	TS17	TS28	3rd ventricle ependyma	EMAPA:35100	TS28	TS27
3rd ventricle	EMAPA:16900	TS17	TS28	optic recess	EMAPA:16902	TS19	TS17
4-8 cell stage conceptus	EMAPA:36063	TS03	TS03	second polar body	EMAPA:16034	TS04	TS01
4-8 cell stage conceptus	EMAPA:36063	TS03	TS03	4-8 cell stage embryo	EMAPA:16037	TS03	TS03
4-8 cell stage conceptus	EMAPA:36063	TS03	TS03	zona pellucida	EMAPA:16035	TS04	TS01
4-cell stage conceptus	EMAPA:36043	TS03	TS03	zona pellucida	EMAPA:16035	TS04	TS01
4-cell stage conceptus	EMAPA:36043	TS03	TS03	4-cell stage embryo	EMAPA:31864	TS03	TS03
4-cell stage conceptus	EMAPA:36043	TS03	TS03	second polar body	EMAPA:16034	TS04	TS01
4th branchial arch	EMAPA:16760	TS16	TS19	4th branchial arch mesenchyme	EMAPA:16770	TS19	TS16
4th branchial arch	EMAPA:16760	TS16	TS19	cervical sinus	EMAPA:16884	TS26	TS17
4th branchial arch	EMAPA:16760	TS16	TS19	4th branchial groove	EMAPA:16761	TS19	TS16
4th branchial arch	EMAPA:16760	TS16	TS19	4th branchial arch endoderm	EMAPA:16769	TS19	TS16
4th branchial arch	EMAPA:16760	TS16	TS19	4th branchial pouch	EMAPA:16766	TS19	TS16
4th branchial arch	EMAPA:16760	TS16	TS19	4th branchial arch ectoderm	EMAPA:16768	TS19	TS16
4th branchial arch	EMAPA:16760	TS16	TS19	4th branchial membrane	EMAPA:16763	TS19	TS16
4th branchial arch mesenchyme	EMAPA:16770	TS16	TS19	4th branchial arch mesenchyme derived from neural crest	EMAPA:16772	TS19	TS16
4th branchial arch mesenchyme	EMAPA:16770	TS16	TS19	4th branchial arch mesenchyme derived from head mesoderm	EMAPA:16771	TS19	TS16
4th branchial groove	EMAPA:16761	TS16	TS19	4th branchial groove ectoderm	EMAPA:16762	TS19	TS16
4th branchial membrane	EMAPA:16763	TS16	TS19	4th branchial membrane endoderm	EMAPA:16765	TS19	TS16
4th branchial membrane	EMAPA:16763	TS16	TS19	4th branchial membrane ectoderm	EMAPA:16764	TS19	TS16
4th branchial pouch	EMAPA:16766	TS16	TS19	4th branchial pouch endoderm	EMAPA:16767	TS19	TS16
4th ventricle	EMAPA:16917	TS17	TS28	4th ventricle ependyma	EMAPA:35355	TS28	TS27
4th ventricle	EMAPA:16917	TS17	TS28	4th ventricle lateral recess	EMAPA:17257	TS26	TS19
4th ventricle choroid plexus	EMAPA:32742	TS20	TS28	medulla oblongata part of 4th ventricle choroid plexus	EMAPA:19074	TS26	TS20
4th ventricle choroid plexus	EMAPA:32742	TS20	TS28	metencephalon part of 4th ventricle choroid plexus	EMAPA:17568	TS26	TS20
6th branchial arch	EMAPA:32766	TS17	TS17	6th branchial arch ectoderm	EMAPA:35101	TS17	TS17
6th branchial arch	EMAPA:32766	TS17	TS17	6th branchial arch mesenchyme	EMAPA:32765	TS17	TS17
8-cell stage conceptus	EMAPA:36044	TS03	TS03	second polar body	EMAPA:16034	TS04	TS01
8-cell stage conceptus	EMAPA:36044	TS03	TS03	8-cell stage embryo	EMAPA:31865	TS03	TS03
8-cell stage conceptus	EMAPA:36044	TS03	TS03	zona pellucida	EMAPA:16035	TS04	TS01
abdomen	EMAPA:35102	TS21	TS28	abdomen musculature	EMAPA:35103	TS28	TS21
abdomen musculature	EMAPA:35103	TS21	TS28	anterior abdominal wall musculature	EMAPA:17744	TS28	TS21
abdominal segment of trunk	EMAPA:35104	TS21	TS28	abdomen	EMAPA:35102	TS28	TS21
abdominal segment of trunk	EMAPA:35104	TS21	TS28	abdominal lymph node	EMAPA:35992	TS28	TS28
abdominal segment of trunk	EMAPA:35104	TS21	TS28	pelvis	EMAPA:35931	TS28	TS27
accessory olfactory bulb	EMAPA:35106	TS27	TS28	accessory olfactory bulb glomerular layer	EMAPA:35108	TS28	TS27
accessory olfactory bulb	EMAPA:35106	TS27	TS28	accessory olfactory bulb internal plexiform layer	EMAPA:35110	TS28	TS27
accessory olfactory bulb	EMAPA:35106	TS27	TS28	accessory olfactory bulb external plexiform layer	EMAPA:35107	TS28	TS27
accessory olfactory bulb	EMAPA:35106	TS27	TS28	accessory olfactory bulb granule cell layer	EMAPA:35109	TS28	TS27
accessory olfactory bulb	EMAPA:35106	TS27	TS28	accessory olfactory bulb mitral cell layer	EMAPA:35111	TS28	TS27
accessory XI nerve	EMAPA:17265	TS18	TS28	accessory XI nerve spinal component	EMAPA:17267	TS28	TS18
accessory XI nerve	EMAPA:17265	TS18	TS28	accessory XI nerve cranial component	EMAPA:17266	TS28	TS19
acetabular region	EMAPA:18346	TS22	TS28	synovial cavity of hip bone	EMAPA:19021	TS26	TS24
adenohypophysis	EMAPA:17514	TS20	TS28	adenohypophysis pars tuberalis	EMAPA:17517	TS28	TS20
adenohypophysis	EMAPA:17514	TS20	TS28	adenohypophysis pars anterior	EMAPA:17515	TS28	TS20
adenohypophysis	EMAPA:17514	TS20	TS28	adenohypophysis pars intermedia	EMAPA:17516	TS28	TS20
adenohypophysis	EMAPA:17514	TS20	TS28	remnant of Rathke's pouch	EMAPA:17518	TS28	TS20
adipose tissue	EMAPA:35112	TS23	TS28	white fat	EMAPA:35926	TS28	TS27
adipose tissue	EMAPA:35112	TS23	TS28	brown fat	EMAPA:19209	TS28	TS23
adipose tissue	EMAPA:35112	TS23	TS28	subcutaneous adipose tissue	EMAPA:35829	TS28	TS28
adipose tissue	EMAPA:35112	TS23	TS28	fat pad	EMAPA:35340	TS28	TS25
adrenal cortex	EMAPA:18427	TS22	TS28	adrenal cortex zone	EMAPA:35113	TS28	TS27
adrenal cortex zone	EMAPA:35113	TS27	TS28	adrenal gland zona fasciculata	EMAPA:35114	TS28	TS27
adrenal cortex zone	EMAPA:35113	TS27	TS28	adrenal gland zona reticularis	EMAPA:35116	TS28	TS27
adrenal cortex zone	EMAPA:35113	TS27	TS28	adrenal gland zona glomerulosa	EMAPA:35115	TS28	TS27
adrenal gland	EMAPA:18426	TS21	TS28	adrenal cortex	EMAPA:18427	TS28	TS22
adrenal gland	EMAPA:18426	TS21	TS28	adrenal medulla	EMAPA:18428	TS28	TS22
adventitia of bladder	EMAPA:28826	TS23	TS28	adventitia of fundus	EMAPA:28831	TS28	TS23
adventitia of bladder	EMAPA:28826	TS23	TS28	adventitia of trigone	EMAPA:28836	TS28	TS23
adventitia of bladder	EMAPA:28826	TS23	TS28	adventitia of neck	EMAPA:30144	TS28	TS23
adventitia of epididymis	EMAPA:30443	TS24	TS28	adventitia of corpus of epididymis	EMAPA:29759	TS28	TS24
adventitia of epididymis	EMAPA:30443	TS24	TS28	adventitia of cauda of epididymis	EMAPA:29753	TS28	TS24
adventitia of epididymis	EMAPA:30443	TS24	TS28	adventitia of caput of epididymis	EMAPA:29765	TS28	TS24
adventitia of vagina	EMAPA:31003	TS28	TS28	adventitia of lower part of vagina	EMAPA:29939	TS28	TS28
adventitia of vagina	EMAPA:31003	TS28	TS28	adventitia of upper part of vagina	EMAPA:29945	TS28	TS28
afferent arteriole of mature renal corpuscle	EMAPA:28266	TS25	TS28	rest of afferent arteriole	EMAPA:28272	TS28	TS25
afferent arteriole of mature renal corpuscle	EMAPA:28266	TS25	TS28	part of afferent arteriole forming the juxtaglomerular complex	EMAPA:28269	TS28	TS25
alar columns	EMAPA:17581	TS20	TS26	dorsal grey horn	EMAPA:18574	TS26	TS23
alimentary system	EMAPA:16246	TS12	TS28	oral region	EMAPA:16262	TS28	TS12
alimentary system	EMAPA:16246	TS12	TS28	alimentary system ectoderm	EMAPA:35990	TS21	TS12
alimentary system	EMAPA:16246	TS12	TS28	alimentary system smooth muscle	EMAPA:35117	TS28	TS21
alimentary system	EMAPA:16246	TS12	TS28	anal region	EMAPA:16831	TS28	TS16
alimentary system	EMAPA:16246	TS12	TS28	alimentary system vascular element	EMAPA:35994	TS26	TS14
alimentary system	EMAPA:16246	TS12	TS28	bowel	EMAPA:35180	TS28	TS28
alimentary system	EMAPA:16246	TS12	TS28	gut	EMAPA:16247	TS28	TS12
alimentary system	EMAPA:16246	TS12	TS28	alimentary system epithelium	EMAPA:32683	TS28	TS12
alimentary system	EMAPA:16246	TS12	TS28	alimentary system endoderm	EMAPA:35991	TS21	TS12
alimentary system	EMAPA:16246	TS12	TS28	mouth-foregut junction	EMAPA:16258	TS14	TS12
alimentary system	EMAPA:16246	TS12	TS28	alimentary system mesenchyme	EMAPA:32886	TS26	TS12
allantois	EMAPA:16107	TS10	TS15	allantois blood vessel	EMAPA:31860	TS15	TS13
allantois	EMAPA:16107	TS10	TS15	allantois mesenchyme	EMAPA:16264	TS15	TS12
allantois	EMAPA:16107	TS10	TS15	allantois endothelium	EMAPA:31861	TS15	TS13
allantois	EMAPA:16107	TS10	TS15	allantois mesoderm	EMAPA:16108	TS11	TS10
alveolar system	EMAPA:32692	TS24	TS28	interalveolar septum	EMAPA:35433	TS28	TS27
alveolar system	EMAPA:32692	TS24	TS28	lung alveolus	EMAPA:32682	TS28	TS25
alveolar system	EMAPA:32692	TS24	TS28	alveolar sac	EMAPA:35119	TS28	TS28
alveolar system	EMAPA:32692	TS24	TS28	alveolar duct	EMAPA:32694	TS28	TS25
alveolar system	EMAPA:32692	TS24	TS28	alveolus smooth muscle	EMAPA:35122	TS28	TS28
alveolar wall	EMAPA:35120	TS27	TS28	alveolus epithelium	EMAPA:35121	TS28	TS27
amnion	EMAPA:16109	TS11	TS26	amnion mesoderm	EMAPA:16111	TS11	TS11
amnion	EMAPA:16109	TS11	TS26	amnion mesenchyme	EMAPA:16265	TS12	TS12
amnion	EMAPA:16109	TS11	TS26	amnion ectoderm	EMAPA:16110	TS26	TS11
amniotic fold	EMAPA:16076	TS10	TS10	amniotic fold mesoderm	EMAPA:16078	TS10	TS10
amniotic fold	EMAPA:16076	TS10	TS10	amniotic fold ectoderm	EMAPA:16077	TS10	TS10
amygdala	EMAPA:32672	TS22	TS28	lateral amygdaloid nucleus	EMAPA:35476	TS28	TS27
amygdala	EMAPA:32672	TS22	TS28	posterior amygdaloid nucleus	EMAPA:35694	TS28	TS28
amygdala	EMAPA:32672	TS22	TS28	amygdalopirifrom transition area	EMAPA:35125	TS28	TS27
amygdala	EMAPA:32672	TS22	TS28	anterior cortical amygdaloid nucleus	EMAPA:35128	TS28	TS28
amygdala	EMAPA:32672	TS22	TS28	cortical amygdaloid nucleus	EMAPA:35254	TS28	TS27
amygdala	EMAPA:32672	TS22	TS28	basomedial amygdaloid nucleus	EMAPA:35168	TS28	TS27
amygdala	EMAPA:32672	TS22	TS28	intercalated amygdaloid nucleus	EMAPA:35434	TS28	TS28
amygdala	EMAPA:32672	TS22	TS28	amygdalohippocampal area	EMAPA:35124	TS28	TS27
amygdala	EMAPA:32672	TS22	TS28	central amygdaloid nucleus	EMAPA:35204	TS28	TS27
amygdala	EMAPA:32672	TS22	TS28	anterior amygdaloid area	EMAPA:35127	TS28	TS27
amygdala	EMAPA:32672	TS22	TS28	basolateral amygdaloid nucleus	EMAPA:35167	TS28	TS27
amygdala	EMAPA:32672	TS22	TS28	medial amygdaloid nucleus	EMAPA:35543	TS28	TS27
anal canal	EMAPA:18256	TS19	TS28	anal canal mucosa	EMAPA:27531	TS26	TS23
anal canal	EMAPA:18256	TS19	TS28	anal canal rostral part	EMAPA:18257	TS28	TS22
anal canal	EMAPA:18256	TS19	TS28	anal canal epithelium	EMAPA:18835	TS26	TS22
anal canal	EMAPA:18256	TS19	TS28	anal canal lumen	EMAPA:18836	TS26	TS24
anal canal	EMAPA:18256	TS19	TS28	anal canal submucosa	EMAPA:27535	TS26	TS24
anal canal	EMAPA:18256	TS19	TS28	anal canal vascular element	EMAPA:18837	TS26	TS22
anal canal	EMAPA:18256	TS19	TS28	caudal one-third of anal canal	EMAPA:25039	TS21	TS19
anal canal	EMAPA:18256	TS19	TS28	rostral two-thirds of anal canal	EMAPA:17350	TS21	TS19
anal canal	EMAPA:18256	TS19	TS28	anal canal caudal part	EMAPA:18261	TS28	TS22
anal canal caudal part	EMAPA:18261	TS22	TS28	anal canal caudal part mesenchyme	EMAPA:18262	TS22	TS22
anal canal caudal part	EMAPA:18261	TS22	TS28	anal canal caudal part lumen	EMAPA:18393	TS23	TS22
anal canal caudal part	EMAPA:18261	TS22	TS28	anal canal caudal part vascular element	EMAPA:18264	TS23	TS22
anal canal caudal part	EMAPA:18261	TS22	TS28	anal canal caudal part mucosa	EMAPA:27215	TS23	TS23
anal canal caudal part	EMAPA:18261	TS22	TS28	anal canal caudal part submucosa	EMAPA:27217	TS23	TS23
anal canal caudal part	EMAPA:18261	TS22	TS28	anal canal caudal part epithelium	EMAPA:18263	TS23	TS22
anal canal caudal part mucosa	EMAPA:27215	TS23	TS23	anal canal caudal part gland	EMAPA:27221	TS23	TS23
anal canal caudal part mucosa	EMAPA:27215	TS23	TS23	anal canal caudal part epithelium	EMAPA:18263	TS23	TS22
anal canal caudal part mucosa	EMAPA:27215	TS23	TS23	anal canal caudal part lamina propria	EMAPA:27223	TS23	TS23
anal canal epithelium	EMAPA:18835	TS22	TS26	anal canal caudal part epithelium	EMAPA:18263	TS23	TS22
anal canal epithelium	EMAPA:18835	TS22	TS26	anal canal rostral part epithelium	EMAPA:18259	TS23	TS22
anal canal mucosa	EMAPA:27531	TS23	TS26	anal canal lamina propria	EMAPA:27547	TS26	TS24
anal canal mucosa	EMAPA:27531	TS23	TS26	anal canal rostral part mucosa	EMAPA:27225	TS23	TS23
anal canal mucosa	EMAPA:27531	TS23	TS26	anal canal caudal part mucosa	EMAPA:27215	TS23	TS23
anal canal mucosa	EMAPA:27531	TS23	TS26	anal canal gland	EMAPA:27543	TS26	TS24
anal canal mucosa	EMAPA:27531	TS23	TS26	anal canal epithelium	EMAPA:18835	TS26	TS22
anal canal rostral part	EMAPA:18257	TS22	TS28	anal canal rostral part submucosa	EMAPA:27227	TS23	TS23
anal canal rostral part	EMAPA:18257	TS22	TS28	anal canal rostral part epithelium	EMAPA:18259	TS23	TS22
anal canal rostral part	EMAPA:18257	TS22	TS28	anal canal rostral part vascular element	EMAPA:18260	TS23	TS22
anal canal rostral part	EMAPA:18257	TS22	TS28	anal canal rostral part mucosa	EMAPA:27225	TS23	TS23
anal canal rostral part	EMAPA:18257	TS22	TS28	anal canal rostral part lumen	EMAPA:18394	TS23	TS22
anal canal rostral part	EMAPA:18257	TS22	TS28	anal canal rostral part mesenchyme	EMAPA:18258	TS22	TS22
anal canal rostral part mucosa	EMAPA:27225	TS23	TS23	anal canal rostral part lamina propria	EMAPA:27231	TS23	TS23
anal canal rostral part mucosa	EMAPA:27225	TS23	TS23	anal canal rostral part gland	EMAPA:27233	TS23	TS23
anal canal rostral part mucosa	EMAPA:27225	TS23	TS23	anal canal rostral part epithelium	EMAPA:18259	TS23	TS22
anal region	EMAPA:16831	TS16	TS28	internal anal sphincter	EMAPA:18266	TS28	TS22
anal region	EMAPA:16831	TS16	TS28	cloacal membrane	EMAPA:16832	TS17	TS16
anal region	EMAPA:16831	TS16	TS28	anal sphincter	EMAPA:36052	TS28	TS22
anal region	EMAPA:16831	TS16	TS28	anal canal	EMAPA:18256	TS28	TS19
anal region	EMAPA:16831	TS16	TS28	external anal sphincter	EMAPA:18265	TS28	TS22
anal region	EMAPA:16831	TS16	TS28	endoderm component of anal membrane	EMAPA:17177	TS21	TS18
anal region	EMAPA:16831	TS16	TS28	pectinate line	EMAPA:19159	TS26	TS25
ankle	EMAPA:32783	TS22	TS28	ankle joint	EMAPA:35126	TS28	TS28
anterior abdominal wall musculature	EMAPA:17744	TS21	TS28	rectus abdominis	EMAPA:18164	TS28	TS22
anterior abdominal wall musculature	EMAPA:17744	TS21	TS28	external oblique	EMAPA:18162	TS28	TS22
anterior abdominal wall musculature	EMAPA:17744	TS21	TS28	anterior abdominal wall undifferentiated pre-muscle mass	EMAPA:17746	TS21	TS21
anterior abdominal wall musculature	EMAPA:17744	TS21	TS28	transversus abdominis	EMAPA:18165	TS28	TS22
anterior abdominal wall musculature	EMAPA:17744	TS21	TS28	internal oblique	EMAPA:18163	TS28	TS22
anterior abdominal wall musculature	EMAPA:17744	TS21	TS28	anterior abdominal wall skeletal muscle	EMAPA:17745	TS28	TS21
anterior abdominal wall musculature	EMAPA:17744	TS21	TS28	oblique abdominal muscle	EMAPA:35603	TS28	TS28
anterior horn of lateral ventricle	EMAPA:17770	TS21	TS26	anterior horn of lateral ventricle choroid plexus	EMAPA:18779	TS26	TS24
anterior medial cortex	EMAPA:35130	TS27	TS28	cingulate cortex	EMAPA:35242	TS28	TS27
anterior naris	EMAPA:18594	TS23	TS26	anterior naris epithelium	EMAPA:18595	TS26	TS23
anterior pro-rhombomere	EMAPA:16149	TS12	TS13	anterior pro-rhombomere neural fold	EMAPA:16151	TS13	TS12
anterior pro-rhombomere	EMAPA:16149	TS12	TS13	anterior pro-rhombomere floor plate	EMAPA:16150	TS13	TS12
anterior pro-rhombomere neural fold	EMAPA:16151	TS12	TS13	anterior pro-rhombomere neural crest	EMAPA:16152	TS13	TS12
anterior prostate gland	EMAPA:29794	TS28	TS28	anterior prostatic interstitium	EMAPA:29802	TS28	TS28
anterior prostate gland	EMAPA:29794	TS28	TS28	anterior prostatic epithelium	EMAPA:29796	TS28	TS28
anterior prostatic epithelium	EMAPA:29796	TS28	TS28	basal epithelium of anterior prostate	EMAPA:29800	TS28	TS28
anterior prostatic epithelium	EMAPA:29796	TS28	TS28	glandular epithelium of anterior prostate	EMAPA:29798	TS28	TS28
anterior prostatic interstitium	EMAPA:29802	TS28	TS28	smooth muscle of anterior prostate	EMAPA:29804	TS28	TS28
anterior prostatic interstitium	EMAPA:29802	TS28	TS28	rest of interstitium of anterior prostate	EMAPA:29806	TS28	TS28
anterior thalamic group	EMAPA:35132	TS27	TS28	anterior ventral thalamic nucleus	EMAPA:35133	TS28	TS28
anterior thalamic group	EMAPA:35132	TS27	TS28	anterior dorsal thalamic nucleus	EMAPA:35129	TS28	TS27
aorta	EMAPA:18601	TS23	TS28	thoracic aorta	EMAPA:18603	TS28	TS23
aorta	EMAPA:18601	TS23	TS28	arch of aorta	EMAPA:17613	TS28	TS20
aorta	EMAPA:18601	TS23	TS28	aorta smooth muscle	EMAPA:35135	TS28	TS28
aorta	EMAPA:18601	TS23	TS28	aorta wall	EMAPA:35139	TS28	TS27
aorta	EMAPA:18601	TS23	TS28	aorta endothelium	EMAPA:35134	TS28	TS28
aorta	EMAPA:18601	TS23	TS28	descending aorta	EMAPA:18606	TS28	TS23
aorta wall	EMAPA:35139	TS27	TS28	aorta tunica media	EMAPA:35138	TS28	TS27
aorta wall	EMAPA:35139	TS27	TS28	aorta tunica intima	EMAPA:35137	TS28	TS27
aorta wall	EMAPA:35139	TS27	TS28	aorta tunica adventitia	EMAPA:35136	TS28	TS27
aortic valve	EMAPA:17870	TS21	TS28	aortic valve leaflet	EMAPA:18627	TS26	TS23
aortico-pulmonary spiral septum	EMAPA:16827	TS16	TS22	ascending aorta	EMAPA:17014	TS28	TS17
aortico-pulmonary spiral septum	EMAPA:16827	TS16	TS22	pulmonary trunk	EMAPA:17015	TS28	TS17
appendicular skeleton	EMAPA:32729	TS22	TS28	girdle bone	EMAPA:35379	TS28	TS23
appendicular skeleton	EMAPA:32729	TS22	TS28	limb skeleton	EMAPA:32702	TS28	TS23
appendicular skeleton	EMAPA:32729	TS22	TS28	limb bone	EMAPA:35494	TS28	TS23
arachnoid mater	EMAPA:32659	TS21	TS28	spinal cord arachnoid mater	EMAPA:17805	TS28	TS21
arachnoid mater	EMAPA:32659	TS21	TS28	brain arachnoid mater	EMAPA:32661	TS28	TS21
arcuate ligament	EMAPA:19236	TS26	TS26	medial arcuate ligament	EMAPA:19237	TS26	TS26
arcuate ligament	EMAPA:19236	TS26	TS26	lateral arcuate ligament	EMAPA:19238	TS26	TS26
arm	EMAPA:17413	TS20	TS28	elbow	EMAPA:17414	TS28	TS20
