Parent Term	Parent Term Accession	Start Stage of Parent Term	End Stage of Parent Term	Child Term	Child term Accession	End Stage of Child Term	Start Stage of Child Term
lung	EMAPA:16728	TS15	TS28	left lung rudiment	EMAPA:16729	TS19	TS15
lung	EMAPA:16728	TS15	TS28	lung hilus	EMAPA:36005	TS28	TS21
lung	EMAPA:16728	TS15	TS28	right lung rudiment	EMAPA:16733	TS19	TS15
lung	EMAPA:16728	TS15	TS28	lung epithelium	EMAPA:32860	TS28	TS15
lung	EMAPA:16728	TS15	TS28	lung parenchyma	EMAPA:35522	TS28	TS21
lung	EMAPA:16728	TS15	TS28	right lung	EMAPA:17661	TS28	TS15
lung	EMAPA:16728	TS15	TS28	lung mesenchyme	EMAPA:32866	TS26	TS15
lung	EMAPA:16728	TS15	TS28	lung rudiment	EMAPA:36007	TS19	TS15
lung	EMAPA:16728	TS15	TS28	left lung	EMAPA:17653	TS28	TS15
lung	EMAPA:16728	TS15	TS28	lobar bronchus	EMAPA:32696	TS28	TS19
lung	EMAPA:16728	TS15	TS28	lung connective tissue	EMAPA:35521	TS28	TS27
lung	EMAPA:16728	TS15	TS28	lung vascular element	EMAPA:32867	TS28	TS15
lung alveolus	EMAPA:32682	TS25	TS28	alveolar wall	EMAPA:35120	TS28	TS27
lung rudiment	EMAPA:36007	TS15	TS19	lung rudiment epithelium	EMAPA:36008	TS19	TS15
lung rudiment	EMAPA:36007	TS15	TS19	lung rudiment vascular element	EMAPA:36010	TS19	TS15
lung rudiment	EMAPA:36007	TS15	TS19	lung rudiment mesenchyme	EMAPA:36009	TS19	TS15
lymph node	EMAPA:35523	TS27	TS28	lymph node follicle	EMAPA:35527	TS28	TS28
lymph node	EMAPA:35523	TS27	TS28	lymph node cortex	EMAPA:35525	TS28	TS27
lymph node	EMAPA:35523	TS27	TS28	lymph node medulla	EMAPA:35529	TS28	TS27
lymph node	EMAPA:35523	TS27	TS28	lymph node capsule	EMAPA:35524	TS28	TS28
lymph node	EMAPA:35523	TS27	TS28	lymph node endothelium	EMAPA:35526	TS28	TS28
lymph node follicle	EMAPA:35527	TS28	TS28	lymph node primary follicle	EMAPA:35530	TS28	TS28
lymph node follicle	EMAPA:35527	TS28	TS28	lymph node secondary follicle	EMAPA:35531	TS28	TS28
lymph node secondary follicle	EMAPA:35531	TS28	TS28	lymph node germinal center	EMAPA:35528	TS28	TS28
lymphatic system	EMAPA:18248	TS19	TS28	jugular lymph sac	EMAPA:18249	TS26	TS22
lymphatic system	EMAPA:18248	TS19	TS28	Peyer's patches	EMAPA:19028	TS28	TS24
lymphatic system	EMAPA:18248	TS19	TS28	lymphatic vessel	EMAPA:35532	TS28	TS27
lymphatic system	EMAPA:18248	TS19	TS28	thoracic duct	EMAPA:19310	TS28	TS26
lymphatic vessel	EMAPA:35532	TS27	TS28	lymphatic vessel endothelium	EMAPA:35533	TS28	TS27
main bronchus	EMAPA:16849	TS16	TS28	main bronchus mesenchyme	EMAPA:16850	TS28	TS16
main bronchus	EMAPA:16849	TS16	TS28	main bronchus vascular element	EMAPA:16852	TS28	TS16
main bronchus	EMAPA:16849	TS16	TS28	main bronchus cartilage	EMAPA:19092	TS28	TS23
main bronchus	EMAPA:16849	TS16	TS28	main bronchus epithelium	EMAPA:16851	TS28	TS16
male associated reproductive structure	EMAPA:28533	TS20	TS28	gubernaculum	EMAPA:19089	TS28	TS23
male associated reproductive structure	EMAPA:28533	TS20	TS28	genital tubercle of male	EMAPA:17969	TS26	TS20
male associated reproductive structure	EMAPA:28533	TS20	TS28	mesorchium	EMAPA:17971	TS28	TS20
male associated reproductive structure	EMAPA:28533	TS20	TS28	ductus deferens	EMAPA:18681	TS28	TS23
male external genitalia	EMAPA:30977	TS20	TS28	scrotal fold	EMAPA:29316	TS27	TS24
male external genitalia	EMAPA:30977	TS20	TS28	labioscrotal swelling of male	EMAPA:30509	TS23	TS22
male external genitalia	EMAPA:30977	TS20	TS28	genital tubercle of male	EMAPA:17969	TS26	TS20
male external genitalia	EMAPA:30977	TS20	TS28	scrotum	EMAPA:19296	TS28	TS26
male external genitalia	EMAPA:30977	TS20	TS28	penis	EMAPA:18682	TS28	TS24
male inguinal ring	EMAPA:29307	TS25	TS28	male external inguinal ring	EMAPA:29310	TS28	TS25
male inguinal ring	EMAPA:29307	TS25	TS28	male internal inguinal ring	EMAPA:29313	TS28	TS25
male reproductive system	EMAPA:17968	TS20	TS28	ejaculatory duct	EMAPA:19088	TS28	TS24
male reproductive system	EMAPA:17968	TS20	TS28	labioscrotal swelling of male	EMAPA:30509	TS23	TS22
