emage_id,type,probe_id,source_id,specimen_id,stage_id
197,in situ,MGI:10698,2,17,278
198,in situ,MGI:1276342,2,17,165
199,in situ,MGI:1276342,2,17,278
200,in situ,MGI:1276342,2,17,11116
201,in situ,MGI:1276342,2,17,278
202,in situ,MGI:1276342,2,17,467
203,in situ,MGI:1276342,2,17,467
204,in situ,MGI:14729,1,17,165
205,in situ,MGI:1276342,2,17,467
206,in situ,MGI:1276342,2,17,11782
207,in situ,MGI:1196631,2,1,236
208,in situ,MGI:17719,2,17,11979
209,in situ,MGI:2387021,2,17,1
210,in situ,MGI:1932307,2,137,155
211,in situ,MGI:2136382,2,17,165
212,in situ,MGI:2136382,2,17,700
213,in situ,MGI:1328385,2,17,165
214,in situ,MGI:17719,2,17,444
215,in situ,MGI:17719,2,17,12539
216,in situ,MGI:17719,2,17,12651
217,in situ,MGI:17719,2,17,1
218,in situ,MGI:17719,2,17,3
219,in situ,MGI:17719,2,17,3
220,in situ,MGI:17719,2,17,165
221,in situ,MGI:17719,2,17,165
222,in situ,MGI:17719,2,17,1
223,in situ,MGI:17719,2,17,13406
224,in situ,MGI:17719,2,17,13517
225,in situ,MGI:17719,2,17,3
226,in situ,MGI:17265,2,47,13739
227,in situ,MGI:17265,2,47,155
228,in situ,MGI:17265,2,47,165
229,in situ,MGI:17265,1,47,165
230,in situ,MGI:17265,1,47,155
231,in situ,MGI:2387023,2,17,1
232,in situ,MGI:1345300,2,17,267
233,in situ,MGI:1345300,1,17,3211
234,in situ,MGI:2154937,1,1,14629
235,in situ,MGI:2154937,1,1,14740
236,in situ,MGI:1929262,2,1,165
237,in situ,MGI:1929262,2,1,1
238,in situ,MGI:1309863,2,1,300
239,in situ,MGI:14729,2,124,155
240,in situ,MGI:14729,2,1,15288
241,in situ,MGI:2445989,2,113,155
242,in situ,MGI:2445989,2,113,165
243,in situ,MGI:2445989,2,113,165
244,in situ,MGI:2445989,2,113,165
245,in situ,MGI:2445989,1,113,165
246,in situ,MGI:1309770,2,124,155
247,in situ,MGI:1334838,2,124,165
248,in situ,MGI:1334838,2,1,700
249,in situ,MGI:1313349,2,17,155
250,in situ,MGI:1276508,2,1,15156
251,in situ,MGI:1276508,2,25,300
252,in situ,MGI:1289531,2,29,689
253,in situ,MGI:1289531,2,138,155
254,in situ,MGI:1334952,2,47,155
255,in situ,MGI:2154937,2,1,16952
256,in situ,MGI:18808,2,139,300
257,in situ,MGI:2182554,2,139,300
258,in situ,MGI:1276342,2,17,1
259,in situ,MGI:1276342,1,17,278
260,in situ,MGI:1276342,1,17,467
261,in situ,MGI:1276342,1,17,467
262,in situ,MGI:2149769,2,17,11782
263,in situ,MGI:1099846,2,1,165
264,in situ,MGI:2180326,2,1,278
265,in situ,MGI:17719,2,17,18059
266,in situ,MGI:1343799,2,1,165
267,in situ,MGI:2149771,2,17,11782
268,in situ,MGI:2149773,2,17,18392
269,in situ,MGI:2149773,2,17,18504
270,in situ,MGI:2149773,2,17,165
271,in situ,MGI:2149773,1,17,165
272,in situ,MGI:1197090,1,1,165
273,in situ,MGI:1197090,1,1,221
274,in situ,MGI:2136461,2,17,700
275,in situ,MGI:1333138,2,1,155
276,in situ,MGI:1345256,1,1,221
277,in situ,MGI:9296,2,40,12909
278,in situ,MGI:9296,2,1,165
279,in situ,MGI:9297,2,124,421
280,in situ,MGI:2447394,2,1,165
281,in situ,MGI:2155348,1,128,19834
282,in situ,MGI:2136045,2,1,19945
283,in situ,MGI:17265,2,47,20055
284,in situ,MGI:17265,1,47,20055
285,in situ,MGI:17265,2,47,20277
286,in situ,MGI:17265,2,47,20411
287,in situ,MGI:15948,2,17,20496
288,in situ,MGI:15948,2,17,20631
289,in situ,MGI:2136461,2,17,19945
290,in situ,MGI:9297,2,124,20834
291,in situ,MGI:9297,2,1,421
292,in situ,MGI:9297,2,1,20834
293,in situ,MGI:2136850,2,25,1
294,in situ,MGI:2136850,2,109,1
295,in situ,MGI:2655269,2,1,21387
296,in situ,MGI:9297,2,124,700
297,in situ,MGI:2655269,1,1,21609
298,in situ,MGI:1340507,2,17,700
299,in situ,MGI:9300,2,17,700
300,in situ,MGI:9300,2,17,21942
301,in situ,MGI:9300,2,17,19945
302,in situ,MGI:2149947,2,49,22163
303,in situ,MGI:1330041,2,17,1
304,in situ,MGI:26073,1,17,33
305,in situ,MGI:26073,1,17,22
306,in situ,Bmpr1b probeA,1,17,33
307,in situ,Bmpr1b probeA,1,17,22
310,in situ,MGI:18808,1,17,54
311,in situ,MGI:18808,1,17,23159
312,in situ,MGI:18808,1,17,23270
313,in situ,MGI:18808,1,17,110
314,in situ,MGI:18808,1,1,8325
315,in situ,Bmp7 probeB,1,3,23270
316,in situ,Eya2 cloneA,1,3,155
318,in situ,MGI:29788,1,17,155
319,in situ,MGI:1315062,1,17,155
320,in situ,Sox2 probeA,1,17,54
321,in situ,Sox2 probeA,1,17,22
322,in situ,Sox2 probeA,1,17,155
323,in situ,Bmp2 cloneA,1,1,110
324,in situ,Foxc2 cloneB,1,1,711
326,in situ,MGI:1334976,1,1,367
327,in situ,MGI:1330552,2,2,122
328,in situ,MGI:1330552,2,2,2691
329,in situ,MGI:1330552,2,2,165
330,in situ,MGI:1330041,2,1,155
331,in situ,MGI:2136849,1,5,700
332,in situ,MGI:2136849,1,5,1
333,in situ,MGI:2136849,1,140,1
334,in situ,MGI:2136849,1,140,19945
335,in situ,MGI:2136849,1,140,22163
336,in situ,MGI:9300,2,40,12909
337,in situ,MGI:1334562,2,17,700
338,in situ,MGI:1334562,2,1,165
339,in situ,MGI:1334562,2,1,165
340,in situ,MGI:1334562,2,1,24624
341,in situ,MGI:1334562,2,17,1
342,in situ,MGI:2136848,2,5,165
343,in situ,MGI:2136848,2,109,165
344,in situ,MGI:2136848,1,5,1
345,in situ,MGI:2182553,2,28,267
346,in situ,MGI:2136809,2,25,165
347,in situ,MGI:2136809,2,25,700
348,in situ,MGI:2136809,2,25,1
349,in situ,MGI:2136809,2,109,1
350,in situ,MGI:2136809,2,109,12909
351,in situ,MGI:2136809,2,109,24763
352,in situ,MGI:1340507,1,17,700
353,in situ,MGI:2136382,2,17,700
354,in situ,MGI:1340506,1,17,165
355,in situ,MGI:1934572,2,17,165
356,in situ,MGI:1330041,2,1,700
357,in situ,MGI:1330041,2,1,12909
358,in situ,MGI:1330041,2,1,12909
359,in situ,MGI:1330041,2,17,1
360,in situ,MGI:29788,2,40,8325
361,in situ,MGI:29788,2,40,2691
362,in situ,MGI:29788,2,40,165
363,in situ,MGI:29788,2,40,24763
364,in situ,MGI:29788,2,40,1
365,in situ,MGI:29788,2,40,24451
373,in situ,MGI:29788,2,40,165
374,in situ,MGI:29788,1,40,24451
375,in situ,MGI:2447722,2,1,300
376,in situ,MGI:2447722,2,1,12889
377,in situ,MGI:2447722,2,1,689
378,in situ,MGI:2447722,2,1,8325
379,in situ,MGI:2447722,2,1,155
380,in situ,MGI:2447722,2,1,700
381,in situ,MGI:1274778,2,1,700
382,in situ,MGI:2447722,2,1,165
383,in situ,MGI:29790,2,40,21942
384,in situ,MGI:1330552,1,17,20631
385,in situ,MGI:1330552,2,2,25112
386,in situ,MGI:1330552,2,2,300
387,in situ,MGI:1330552,2,2,444
388,in situ,MGI:1330552,8,1,25145
389,in situ,MGI:1330552,2,2,165
390,in situ,MGI:1330552,2,2,700
391,in situ,MGI:1330552,2,2,22163
392,in situ,MGI:1330552,2,2,1
393,in situ,MGI:1330552,2,2,12909
394,in situ,MGI:1330550,2,40,12909
395,in situ,MGI:1196544,2,1,12909
396,in situ,MGI:1331398,2,17,1
397,in situ,MGI:1331398,2,1,165
398,in situ,MGI:1331398,2,1,155
399,in situ,MGI:12561,2,1,155
400,in situ,MGI:1340506,2,1,165
401,in situ,MGI:9304,2,1,155
402,in situ,MGI:9304,2,1,165
403,in situ,MGI:1327256,2,1,25310
404,in situ,MGI:1340456,1,15,25339
405,in situ,MGI:1340456,1,15,25328
406,in situ,MGI:1932963,1,17,165
407,in situ,MGI:1932963,1,17,165
408,in situ,MGI:1932963,1,17,1
409,in situ,MGI:12281,1,21,155
410,in situ,MGI:1314717,2,24,24967
411,in situ,MGI:1314717,1,24,25389
412,in situ,MGI:1314717,1,24,3
413,in situ,MGI:1314717,1,24,24596
414,in situ,MGI:1098113,1,31,25421
415,in situ,MGI:1303143,1,24,165
416,in situ,MGI:1303143,1,24,3
417,in situ,MGI:1303143,1,24,24596
418,in situ,MGI:1303143,1,24,25389
419,in situ,MGI:9304,1,2,4099
420,in situ,MGI:29788,1,40,155
421,in situ,MGI:9304,1,47,165
422,in situ,MGI:9304,1,47,155
423,in situ,MGI:1930287,1,1,19945
424,in situ,MGI:1929233,1,49,19945
425,in situ,MGI:2157817,1,17,165
426,in situ,MGI:2157816,1,17,25567
427,in situ,MGI:2157811,1,17,25567
428,in situ,MGI:2157815,2,17,700
429,in situ,MGI:1327256,1,1,8325
430,in situ,MGI:1935102,1,52,155
431,in situ,MGI:1935102,1,17,155
432,in situ,MGI:1935102,1,54,165
433,in situ,MGI:1935102,1,54,19945
434,in situ,MGI:2157814,1,17,467
435,in situ,MGI:2157814,1,17,700
436,in situ,MGI:1098113,2,1,8325
437,in situ,MGI:1098113,2,17,165
438,in situ,MGI:18808,1,17,199
439,in situ,MGI:12281,1,47,24763
440,in situ,MGI:12281,1,47,25727
441,in situ,MGI:12281,1,47,25727
442,in situ,MGI:12281,1,1,19945
443,in situ,MGI:12281,1,63,1
444,in situ,MGI:12281,1,17,25759
445,in situ,MGI:12281,1,1,700
446,in situ,MGI:2386749,2,1,700
447,in situ,MGI:2149798,1,1,155
448,in situ,MGI:1346399,2,1,155
449,in situ,MGI:1340511,2,1,155
450,in situ,MGI:1335231,2,66,24617
451,in situ,MGI:1930280,2,70,155
452,in situ,MGI:1930280,2,67,1
453,in situ,MGI:1276127,1,1,155
454,in situ,MGI:1342960,1,79,1
455,in situ,MGI:29788,1,17,689
456,in situ,MGI:2179820,1,15,25328
457,in situ,MGI:2385688,1,40,1
458,in situ,MGI:1342961,1,79,1
459,in situ,MGI:1333120,1,1,25930
460,in situ,MGI:1332544,2,17,3
461,in situ,MGI:9015,1,1,155
462,in situ,MGI:1202921,1,1,165
463,in situ,MGI:1202921,1,17,700
464,in situ,MGI:2150296,2,17,700
465,in situ,MGI:1333109,2,97,25994
466,in situ,MGI:1334537,2,1,155
467,in situ,MGI:1332853,1,99,165
468,in situ,MGI:1201629,1,17,700
469,in situ,MGI:2155101,1,17,700
470,in situ,MGI:2155108,1,17,700
471,in situ,MGI:2155100,2,17,700
472,in situ,MGI:2155100,2,1,700
473,in situ,MGI:2155100,2,1,165
474,in situ,MGI:1098119,2,112,165
475,in situ,MGI:2157132,2,109,11782
476,in situ,MGI:1332853,1,99,165
477,in situ,MGI:1335873,2,113,26119
478,in situ,MGI:1334985,2,78,700
479,in situ,MGI:24254,2,29,700
480,in situ,MGI:2154281,2,17,1
