Theirler Stage	Accession	Annotation	Data Source	Assay Type	Probe Accession	User Stage	Gene Symbol	Specimen Type	Specimen Strain
TS19	EMAGE:29038	only anatomy term annotation	embrys	in situ	EMBRYS:Zscan12	11.5dpc	Zscan12	wholemount	ICR
TS19	EMAGE:29039	only anatomy term annotation	embrys	in situ	EMBRYS:Mzf1	11.5dpc	Mzf1	wholemount	ICR
TS16	EMAGE:2904	wholemount spatial annotation	emage	in situ	MGI:3507107	10.5 dpc	Pcsk6	wholemount	C57BL
TS19	EMAGE:29041	only anatomy term annotation	embrys	in situ	EMBRYS:Zfpm2	11.5dpc	Zfpm2	wholemount	ICR
TS19	EMAGE:29042	only anatomy term annotation	embrys	in situ	EMBRYS:Ikzf1	11.5dpc	Ikzf1	wholemount	ICR
TS19	EMAGE:29043	only anatomy term annotation	embrys	in situ	EMBRYS:Ikzf2	11.5dpc	Ikzf2	wholemount	ICR
TS19	EMAGE:29044	only anatomy term annotation	embrys	in situ	EMBRYS:Ikzf4	11.5dpc	Ikzf4	wholemount	ICR
TS19	EMAGE:29045	only anatomy term annotation	embrys	in situ	EMBRYS:Zfy1	11.5dpc	Zfy1	wholemount	ICR
TS19	EMAGE:29046	only anatomy term annotation	embrys	in situ	EMBRYS:Zfy2	11.5dpc	Zfy2	wholemount	ICR
TS19	EMAGE:29047	only anatomy term annotation	embrys	in situ	EMBRYS:Zhx2	11.5dpc	Zhx2	wholemount	ICR
TS19	EMAGE:29048	only anatomy term annotation	embrys	in situ	EMBRYS:Zhx3	11.5dpc	Zhx3	wholemount	ICR
TS19	EMAGE:29049	only anatomy term annotation	embrys	in situ	EMBRYS:Zmynd11	11.5dpc	Zmynd11	wholemount	ICR
TS17	EMAGE:2905	wholemount spatial annotation	emage	in situ	MGI:3507387	10.5 dpc	Sin3a	wholemount	C57BL
TS19	EMAGE:29050	only anatomy term annotation	embrys	in situ	EMBRYS:Znrd1	11.5dpc	Znrd1	wholemount	ICR
TS19	EMAGE:29051	only anatomy term annotation	embrys	in situ	EMBRYS:Zswim4	11.5dpc	Zswim4	wholemount	ICR
TS19	EMAGE:29052	only anatomy term annotation	embrys	in situ	EMBRYS:Ddb2	11.5dpc	Ddb2	wholemount	ICR
