Theirler Stage	Accession	Annotation	Data Source	Assay Type	Probe Accession	User Stage	Gene Symbol	Specimen Type	Specimen Strain
TS20	EMAGE:10	3D spatial annotation	emage	in situ	IMAGE:375186	12.5 dpc	Cdh11	section	CD1
TS16	EMAGE:100	wholemount spatial annotation	mgi	in situ	MGI:9304	9.5 dpc	Wnt1	wholemount	
TS15	EMAGE:1000	wholemount spatial annotation	mgi	in situ	MGI:2676487	25 Somite no.	Dbx1	wholemount	unspecified
TS23	EMAGE:10000	wholemount spatial annotation	eurexpress	in situ	T307	14.5 dpc	1110008P14Rik	section	NMRI
TS23	EMAGE:10001	wholemount spatial annotation	eurexpress	in situ	T51038	14.5 dpc	Slc35c2	section	NMRI
TS23	EMAGE:10002	wholemount spatial annotation	eurexpress	in situ	T303	14.5 dpc	Ccl8	section	NMRI
TS23	EMAGE:10003	wholemount spatial annotation	eurexpress	in situ	T294	14.5 dpc	Vgll4	section	NMRI
TS23	EMAGE:10004	wholemount spatial annotation	eurexpress	in situ	T300	14.5 dpc	Slamf9	section	NMRI
TS23	EMAGE:10005	wholemount spatial annotation	eurexpress	in situ	T56015	14.5 dpc	Slc7a3	section	NMRI
TS23	EMAGE:10006	wholemount spatial annotation	eurexpress	in situ	T1632	14.5 dpc	Smad2	section	NMRI
TS23	EMAGE:10007	wholemount spatial annotation	eurexpress	in situ	T1634	14.5 dpc	Lgals2	section	NMRI
TS23	EMAGE:10008	wholemount spatial annotation	eurexpress	in situ	T1633	14.5 dpc	Msrb3	section	NMRI
TS23	EMAGE:10009	wholemount spatial annotation	eurexpress	in situ	T51045	14.5 dpc	Slc8a1	section	C57BL/6
TS15	EMAGE:1001	wholemount spatial annotation	mgi	in situ	MGI:2676481	21 Somite no.	Emx2	wholemount	unspecified
TS23	EMAGE:10010	wholemount spatial annotation	eurexpress	in situ	T133	14.5 dpc	Slc39a11	section	C57BL/6
TS23	EMAGE:10011	wholemount spatial annotation	eurexpress	in situ	T171	14.5 dpc	Col17a1	section	C57BL/6
TS23	EMAGE:10012	wholemount spatial annotation	eurexpress	in situ	T108	14.5 dpc	Samd14	section	C57BL/6
TS23	EMAGE:10016	wholemount spatial annotation	eurexpress	in situ	T123	14.5 dpc	Dnalc4	section	C57BL/6
TS23	EMAGE:10017	wholemount spatial annotation	eurexpress	in situ	T118	14.5 dpc	P4htm	section	C57BL/6
TS23	EMAGE:10018	wholemount spatial annotation	eurexpress	in situ	T178	14.5 dpc	Med27	section	C57BL/6
TS23	EMAGE:10019	wholemount spatial annotation	eurexpress	in situ	T172	14.5 dpc	Nod1	section	C57BL/6
TS15	EMAGE:1002	wholemount spatial annotation	mgi	in situ	MGI:2676481	24 Somite no.	Emx2	wholemount	unspecified
TS23	EMAGE:10020	wholemount spatial annotation	eurexpress	in situ	T65	14.5 dpc	Bnc1	section	NMRI
TS23	EMAGE:10021	wholemount spatial annotation	eurexpress	in situ	T116	14.5 dpc	Ipo13	section	C57BL/6
TS23	EMAGE:10022	wholemount spatial annotation	eurexpress	in situ	T272	14.5 dpc	Rabac1	section	C57BL/6
TS23	EMAGE:10023	wholemount spatial annotation	eurexpress	in situ	T182	14.5 dpc	Luzp1	section	C57BL/6
TS23	EMAGE:10024	wholemount spatial annotation	eurexpress	in situ	T267	14.5 dpc	Mtx1	section	C57BL/6
TS23	EMAGE:10025	wholemount spatial annotation	eurexpress	in situ	T51026	14.5 dpc	Slc12a8	section	C57BL/6
TS23	EMAGE:10026	wholemount spatial annotation	eurexpress	in situ	T273	14.5 dpc	Sgcb	section	C57BL/6
TS23	EMAGE:10027	wholemount spatial annotation	eurexpress	in situ	T56009	14.5 dpc	Slc36a1	section	C57BL/6
TS23	EMAGE:10028	wholemount spatial annotation	eurexpress	in situ	T315	14.5 dpc	Tmem59	section	C57BL/6
TS23	EMAGE:10029	wholemount spatial annotation	eurexpress	in situ	T314	14.5 dpc	2210021J22Rik	section	C57BL/6
TS14	EMAGE:1003	wholemount spatial annotation	mgi	in situ	MGI:2676494	16 Somite no.	Fgf15	wholemount	unspecified
TS23	EMAGE:10030	wholemount spatial annotation	eurexpress	in situ	T311	14.5 dpc	Zfp414	section	C57BL/6
TS23	EMAGE:10031	wholemount spatial annotation	eurexpress	in situ	T313	14.5 dpc	1110012L19Rik	section	C57BL/6
TS23	EMAGE:10032	wholemount spatial annotation	eurexpress	in situ	T361	14.5 dpc	Arrdc1	section	C57BL/6
TS23	EMAGE:10033	wholemount spatial annotation	eurexpress	in situ	T371	14.5 dpc	Rpa1	section	C57BL/6
TS23	EMAGE:10034	wholemount spatial annotation	eurexpress	in situ	T362	14.5 dpc	Arhgap8	section	C57BL/6
TS23	EMAGE:10013	wholemount spatial annotation	eurexpress	in situ	T50132	14.5 dpc	Atp6v1e1	section	C57BL/6
TS23	EMAGE:10014	wholemount spatial annotation	eurexpress	in situ	T142	14.5 dpc	Drg2	section	NMRI
TS23	EMAGE:10015	wholemount spatial annotation	eurexpress	in situ	T50718	14.5 dpc	Nphs1	section	NMRI
TS23	EMAGE:10039	wholemount spatial annotation	eurexpress	in situ	T373	14.5 dpc	Trpm7	section	C57BL/6
TS20	EMAGE:1004	3D spatial annotation	mgi	in situ	MGI:8589431	12.5 dpc	Gsx1	section	
TS23	EMAGE:10040	wholemount spatial annotation	eurexpress	in situ	T376	14.5 dpc	Klk6	section	C57BL/6
TS23	EMAGE:10041	wholemount spatial annotation	eurexpress	in situ	T380	14.5 dpc	C230052I12Rik	section	C57BL/6
TS23	EMAGE:10042	wholemount spatial annotation	eurexpress	in situ	T387	14.5 dpc	Bpifb5	section	C57BL/6
TS23	EMAGE:10043	wholemount spatial annotation	eurexpress	in situ	T384	14.5 dpc	Tpx2	section	C57BL/6
TS23	EMAGE:10044	wholemount spatial annotation	eurexpress	in situ	T389	14.5 dpc	Stk24	section	C57BL/6
TS23	EMAGE:10045	wholemount spatial annotation	eurexpress	in situ	T56010	14.5 dpc	Slc39a5	section	C57BL/6
TS23	EMAGE:10046	wholemount spatial annotation	eurexpress	in situ	T51043	14.5 dpc	Slc6a8	section	C57BL/6
TS23	EMAGE:10047	wholemount spatial annotation	eurexpress	in situ	T56011	14.5 dpc	Slc5a6	section	C57BL/6
TS23	EMAGE:10048	wholemount spatial annotation	eurexpress	in situ	T390	14.5 dpc	Hcfc1	section	C57BL/6
TS23	EMAGE:10049	wholemount spatial annotation	eurexpress	in situ	T409	14.5 dpc	Rnf214	section	C57BL/6
TS14	EMAGE:1005	wholemount spatial annotation	mgi	in situ	MGI:2676495	18 Somite no.	Fgfr2	wholemount	unspecified
TS23	EMAGE:10050	wholemount spatial annotation	eurexpress	in situ	T51034	14.5 dpc	Slc27a3	section	C57BL/6
TS23	EMAGE:10051	wholemount spatial annotation	eurexpress	in situ	T391	14.5 dpc	Ubap1	section	C57BL/6
TS23	EMAGE:10052	wholemount spatial annotation	eurexpress	in situ	T401	14.5 dpc	Ppih	section	C57BL/6
TS23	EMAGE:10053	wholemount spatial annotation	eurexpress	in situ	T398	14.5 dpc	Mrps6	section	C57BL/6
TS23	EMAGE:10054	wholemount spatial annotation	eurexpress	in situ	T400	14.5 dpc	Ddx18	section	C57BL/6
TS23	EMAGE:10055	wholemount spatial annotation	eurexpress	in situ	T405	14.5 dpc	Cdca5	section	C57BL/6
TS23	EMAGE:10056	wholemount spatial annotation	eurexpress	in situ	T404	14.5 dpc	Inppl1	section	C57BL/6
TS23	EMAGE:10057	wholemount spatial annotation	eurexpress	in situ	T407	14.5 dpc	Cenpa	section	C57BL/6
TS23	EMAGE:10035	wholemount spatial annotation	eurexpress	in situ	T363	14.5 dpc	Ndufa2	section	C57BL/6
TS23	EMAGE:10036	wholemount spatial annotation	eurexpress	in situ	T374	14.5 dpc	1600012H06Rik	section	C57BL/6
TS23	EMAGE:10037	wholemount spatial annotation	eurexpress	in situ	T378	14.5 dpc	Dap	section	C57BL/6
TS23	EMAGE:10038	wholemount spatial annotation	eurexpress	in situ	T377	14.5 dpc	Nae1	section	C57BL/6
TS23	EMAGE:10060	wholemount spatial annotation	eurexpress	in situ	T1567	14.5 dpc	Tmem125	section	C57BL/6
TS23	EMAGE:10061	wholemount spatial annotation	eurexpress	in situ	T1521	14.5 dpc	Igf2bp1	section	C57BL/6
TS23	EMAGE:10062	wholemount spatial annotation	eurexpress	in situ	T1520	14.5 dpc	6430598A04Rik	section	C57BL/6
TS23	EMAGE:10063	wholemount spatial annotation	eurexpress	in situ	T1524	14.5 dpc	Gemin6	section	C57BL/6
TS23	EMAGE:10064	wholemount spatial annotation	eurexpress	in situ	T1534	14.5 dpc	Cse1l	section	C57BL/6
TS23	EMAGE:10065	wholemount spatial annotation	eurexpress	in situ	T141	14.5 dpc	Gtf2ird2	section	C57BL/6
TS23	EMAGE:10066	wholemount spatial annotation	eurexpress	in situ	T1529	14.5 dpc	Rnmtl1	section	C57BL/6
TS23	EMAGE:10067	wholemount spatial annotation	eurexpress	in situ	T1601	14.5 dpc	Snx2	section	C57BL/6
TS23	EMAGE:10068	wholemount spatial annotation	eurexpress	in situ	T1530	14.5 dpc	Gba2	section	C57BL/6
TS23	EMAGE:10069	wholemount spatial annotation	eurexpress	in situ	T1500	14.5 dpc	Spsb3	section	C57BL/6
TS15	EMAGE:1007	wholemount spatial annotation	mgi	in situ	MGI:2676484	26 Somite no.	Foxo1	wholemount	unspecified
TS23	EMAGE:10070	wholemount spatial annotation	eurexpress	in situ	T56034	14.5 dpc	Slc2a13	section	C57BL/6
TS23	EMAGE:10071	wholemount spatial annotation	eurexpress	in situ	T50024	14.5 dpc	Slc10a3	section	C57BL/6
TS23	EMAGE:10072	wholemount spatial annotation	eurexpress	in situ	T431	14.5 dpc	2810055F11Rik	section	C57BL/6
TS23	EMAGE:10073	wholemount spatial annotation	eurexpress	in situ	T1502	14.5 dpc	Eed	section	C57BL/6
TS23	EMAGE:10074	wholemount spatial annotation	eurexpress	in situ	T1503	14.5 dpc	Zfp11	section	C57BL/6
TS23	EMAGE:10075	wholemount spatial annotation	eurexpress	in situ	T1630	14.5 dpc	Cdx2	section	C57BL/6
TS23	EMAGE:10076	wholemount spatial annotation	eurexpress	in situ	T1631	14.5 dpc	Fhl3	section	C57BL/6
TS23	EMAGE:10077	wholemount spatial annotation	eurexpress	in situ	T1492	14.5 dpc	Lrdd	section	C57BL/6
TS23	EMAGE:10078	wholemount spatial annotation	eurexpress	in situ	T1493	14.5 dpc	Arntl	section	C57BL/6
TS23	EMAGE:10079	wholemount spatial annotation	eurexpress	in situ	T1618	14.5 dpc	Chst8	section	C57BL/6
TS23	EMAGE:10058	wholemount spatial annotation	eurexpress	in situ	T406	14.5 dpc	Tonsl	section	C57BL/6
TS23	EMAGE:10059	wholemount spatial annotation	eurexpress	in situ	T56006	14.5 dpc	Slc6a11	section	C57BL/6
TS15	EMAGE:1006	wholemount spatial annotation	mgi	in situ	MGI:2676496	20 Somite no.	Fgfr3	wholemount	unspecified
TS23	EMAGE:10082	wholemount spatial annotation	eurexpress	in situ	T1709	14.5 dpc	Lrrtm1	section	C57BL/6
TS23	EMAGE:10083	wholemount spatial annotation	eurexpress	in situ	T1523	14.5 dpc	Inpp5f	section	C57BL/6
TS23	EMAGE:10084	wholemount spatial annotation	eurexpress	in situ	T1714	14.5 dpc	Tlx3	section	C57BL/6
TS23	EMAGE:10085	wholemount spatial annotation	eurexpress	in situ	T1711	14.5 dpc	Palm	section	C57BL/6
TS23	EMAGE:10086	wholemount spatial annotation	eurexpress	in situ	T50035	14.5 dpc	Rspo2	section	C57BL/6
TS23	EMAGE:10087	wholemount spatial annotation	eurexpress	in situ	T50114	14.5 dpc	Arg2	section	C57BL/6
TS23	EMAGE:10088	wholemount spatial annotation	eurexpress	in situ	T330	14.5 dpc	Slc25a39	section	C57BL/6
TS23	EMAGE:10089	wholemount spatial annotation	eurexpress	in situ	T328	14.5 dpc	Srxn1	section	C57BL/6
TS20	EMAGE:1009	3D spatial annotation	mgi	in situ	MGI:23938	12.5 dpc	Acvr2b	section	(C57BL/6 x CBA)F1
TS23	EMAGE:10090	wholemount spatial annotation	eurexpress	in situ	T1531	14.5 dpc	Rbm10	section	C57BL/6
TS23	EMAGE:10091	wholemount spatial annotation	eurexpress	in situ	T1532	14.5 dpc	Aph1a	section	C57BL/6
TS23	EMAGE:10092	wholemount spatial annotation	eurexpress	in situ	T128	14.5 dpc	Lasp1	section	C57BL/6
TS23	EMAGE:10093	wholemount spatial annotation	eurexpress	in situ	T173	14.5 dpc	1600014C10Rik	section	C57BL/6
TS23	EMAGE:10094	wholemount spatial annotation	eurexpress	in situ	T161	14.5 dpc	Ccdc66	section	C57BL/6
TS23	EMAGE:10095	wholemount spatial annotation	eurexpress	in situ	T1497	14.5 dpc	Bag4	section	C57BL/6
TS23	EMAGE:10096	wholemount spatial annotation	eurexpress	in situ	T1505	14.5 dpc	4930444A02Rik	section	C57BL/6
TS23	EMAGE:10097	wholemount spatial annotation	eurexpress	in situ	T1508	14.5 dpc	Dcun1d5	section	C57BL/6
TS23	EMAGE:10098	wholemount spatial annotation	eurexpress	in situ	T1506	14.5 dpc	Cenpo	section	C57BL/6
TS23	EMAGE:10099	wholemount spatial annotation	eurexpress	in situ	T1551	14.5 dpc	Ttc39a	section	C57BL/6
TS11	EMAGE:101	wholemount spatial annotation	mgi	in situ	MGI:23226		Otx2	wholemount	CD1
TS16	EMAGE:1010	wholemount spatial annotation	mgi	in situ	MGI:2180336	9.5 dpc	Aldh1a1	wholemount	129S1/Sv x 129X1/SvJ x C57BL/6
TS20	EMAGE:1008	3D spatial annotation	mgi	in situ	MGI:23937	12.5 dpc	Acvr2a	section	
TS23	EMAGE:10080	wholemount spatial annotation	eurexpress	in situ	T1617	14.5 dpc	Tagln3	section	C57BL/6
TS23	EMAGE:10081	wholemount spatial annotation	eurexpress	in situ	T1708	14.5 dpc	Gnb5	section	C57BL/6
TS23	EMAGE:10103	wholemount spatial annotation	eurexpress	in situ	T1544	14.5 dpc	Tnfrsf19	section	C57BL/6
TS23	EMAGE:10104	wholemount spatial annotation	eurexpress	in situ	T1636	14.5 dpc	Lbx2	section	C57BL/6
TS23	EMAGE:10105	wholemount spatial annotation	eurexpress	in situ	T50875	14.5 dpc	Pcca	section	C57BL/6
TS23	EMAGE:10106	wholemount spatial annotation	eurexpress	in situ	T1646	14.5 dpc	Lrfn3	section	C57BL/6
TS23	EMAGE:10107	wholemount spatial annotation	eurexpress	in situ	T1670	14.5 dpc	Mb	section	C57BL/6
TS23	EMAGE:10108	wholemount spatial annotation	eurexpress	in situ	T1519	14.5 dpc	Gorab	section	C57BL/6
TS23	EMAGE:10109	wholemount spatial annotation	eurexpress	in situ	T1515	14.5 dpc	Cdca2	section	C57BL/6
TS14	EMAGE:1011	wholemount spatial annotation	mgi	in situ	MGI:23138	9.0 dpc	Ascl1	wholemount	unspecified
TS23	EMAGE:10110	wholemount spatial annotation	eurexpress	in situ	T1517	14.5 dpc	Cep68	section	C57BL/6
TS23	EMAGE:10111	wholemount spatial annotation	eurexpress	in situ	T1518	14.5 dpc	Lypd1	section	C57BL/6
TS23	EMAGE:10112	wholemount spatial annotation	eurexpress	in situ	T1674	14.5 dpc	Cdca7l	section	NMRI
TS23	EMAGE:10113	wholemount spatial annotation	eurexpress	in situ	T1498	14.5 dpc	Sh3glb2	section	NMRI
TS23	EMAGE:10114	wholemount spatial annotation	eurexpress	in situ	T1645	14.5 dpc	D15Ertd621e	section	NMRI
TS23	EMAGE:10115	wholemount spatial annotation	eurexpress	in situ	T1777	14.5 dpc	Msc	section	NMRI
TS23	EMAGE:10116	wholemount spatial annotation	eurexpress	in situ	T1664	14.5 dpc	Fam55b	section	NMRI
TS23	EMAGE:10117	wholemount spatial annotation	eurexpress	in situ	T1561	14.5 dpc	Trip10	section	C57BL/6
TS23	EMAGE:10118	wholemount spatial annotation	eurexpress	in situ	T1419	14.5 dpc	Mrps23	section	C57BL/6
TS23	EMAGE:10119	wholemount spatial annotation	eurexpress	in situ	T1560	14.5 dpc	2210012G02Rik	section	C57BL/6
TS20	EMAGE:1012	3D spatial annotation	mgi	in situ	MGI:23138	12.5 dpc	Ascl1	section	unspecified
TS23	EMAGE:10120	wholemount spatial annotation	eurexpress	in situ	T1566	14.5 dpc	1110034A24Rik	section	C57BL/6
TS23	EMAGE:10121	wholemount spatial annotation	eurexpress	in situ	T1565	14.5 dpc	Zfp54	section	C57BL/6
TS23	EMAGE:10100	wholemount spatial annotation	eurexpress	in situ	T1535	14.5 dpc	Spire2	section	C57BL/6
TS23	EMAGE:10101	wholemount spatial annotation	eurexpress	in situ	T1549	14.5 dpc	Zfp184	section	C57BL/6
TS23	EMAGE:10102	wholemount spatial annotation	eurexpress	in situ	T1597	14.5 dpc	Tmem17	section	C57BL/6
TS23	EMAGE:10125	wholemount spatial annotation	eurexpress	in situ	T1651	14.5 dpc	Mdm1	section	C57BL/6
TS23	EMAGE:10126	wholemount spatial annotation	eurexpress	in situ	T1739	14.5 dpc	Zscan20	section	C57BL/6
TS23	EMAGE:10127	wholemount spatial annotation	eurexpress	in situ	T1673	14.5 dpc	Me3	section	C57BL/6
TS23	EMAGE:10128	wholemount spatial annotation	eurexpress	in situ	T1656	14.5 dpc	Klk12	section	C57BL/6
TS23	EMAGE:10129	wholemount spatial annotation	eurexpress	in situ	T1644	14.5 dpc	D730040F13Rik	section	C57BL/6
TS20	EMAGE:1013	3D spatial annotation	mgi	in situ	MGI:23138	12.5 dpc	Ascl1	section	
TS23	EMAGE:10130	wholemount spatial annotation	eurexpress	in situ	T1596	14.5 dpc	C130073F10Rik	section	C57BL/6
TS23	EMAGE:10131	wholemount spatial annotation	eurexpress	in situ	T1595	14.5 dpc	Zdhhc2	section	C57BL/6
TS23	EMAGE:10132	wholemount spatial annotation	eurexpress	in situ	T1600	14.5 dpc	Nmt2	section	C57BL/6
TS23	EMAGE:10133	wholemount spatial annotation	eurexpress	in situ	T1422	14.5 dpc	Epb4.1l3	section	C57BL/6
TS23	EMAGE:10134	wholemount spatial annotation	eurexpress	in situ	T1592	14.5 dpc	Pard3	section	C57BL/6
TS23	EMAGE:10135	wholemount spatial annotation	eurexpress	in situ	T1781	14.5 dpc	Atp1b1	section	C57BL/6
TS23	EMAGE:10136	wholemount spatial annotation	eurexpress	in situ	T1752	14.5 dpc	Eif2b2	section	C57BL/6
TS23	EMAGE:10137	wholemount spatial annotation	eurexpress	in situ	T1464	14.5 dpc	Oat	section	C57BL/6
TS23	EMAGE:10138	wholemount spatial annotation	eurexpress	in situ	T1779	14.5 dpc	Atpaf1	section	C57BL/6
TS23	EMAGE:10139	wholemount spatial annotation	eurexpress	in situ	T1755	14.5 dpc	Nsg2	section	C57BL/6
TS15	EMAGE:1014	wholemount spatial annotation	mgi	in situ	MGI:1340527	9.5 dpc	Ascl1	wholemount	129S1/Sv x 129X1/SvJ x C57BL/6
TS23	EMAGE:10140	wholemount spatial annotation	eurexpress	in situ	T1704	14.5 dpc	Dvl2	section	C57BL/6
TS23	EMAGE:10141	wholemount spatial annotation	eurexpress	in situ	T1702	14.5 dpc	Pcsk2	section	C57BL/6
TS23	EMAGE:10142	wholemount spatial annotation	eurexpress	in situ	T1697	14.5 dpc	Pdcd2	section	C57BL/6
TS23	EMAGE:10143	wholemount spatial annotation	eurexpress	in situ	T1692	14.5 dpc	E130308A19Rik	section	C57BL/6
TS23	EMAGE:10122	wholemount spatial annotation	eurexpress	in situ	T1562	14.5 dpc	Hat1	section	C57BL/6
TS23	EMAGE:10123	wholemount spatial annotation	eurexpress	in situ	T1658	14.5 dpc	Mip	section	C57BL/6
TS23	EMAGE:10124	wholemount spatial annotation	eurexpress	in situ	T50682	14.5 dpc	Mmd2	section	C57BL/6
TS23	EMAGE:10148	wholemount spatial annotation	eurexpress	in situ	T1783	14.5 dpc	Orc4	section	C57BL/6
TS23	EMAGE:10149	wholemount spatial annotation	eurexpress	in situ	T51029	14.5 dpc	Slc14a1	section	C57BL/6
TS17	EMAGE:1015	wholemount spatial annotation	mgi	in situ	MGI:1101193	10.5 dpc	Pax3	wholemount	FVB
TS23	EMAGE:10150	wholemount spatial annotation	eurexpress	in situ	T1784	14.5 dpc	Zeb1	section	C57BL/6
TS23	EMAGE:10151	wholemount spatial annotation	eurexpress	in situ	T1654	14.5 dpc	Rgs19	section	C57BL/6
TS23	EMAGE:10152	wholemount spatial annotation	eurexpress	in situ	T1791	14.5 dpc	Pip5k1b	section	C57BL/6
TS23	EMAGE:10153	wholemount spatial annotation	eurexpress	in situ	T51143	14.5 dpc	Tle4	section	C57BL/6
TS23	EMAGE:10154	wholemount spatial annotation	eurexpress	in situ	T1660	14.5 dpc	Trim10	section	C57BL/6
TS23	EMAGE:10155	wholemount spatial annotation	eurexpress	in situ	T1641	14.5 dpc	Tmem14c	section	C57BL/6
TS23	EMAGE:10156	wholemount spatial annotation	eurexpress	in situ	T51144	14.5 dpc	Tle6	section	C57BL/6
TS23	EMAGE:10157	wholemount spatial annotation	eurexpress	in situ	T51142	14.5 dpc	Tle2	section	C57BL/6
TS23	EMAGE:10158	wholemount spatial annotation	eurexpress	in situ	T1676	14.5 dpc	Taf9	section	C57BL/6
TS23	EMAGE:10159	wholemount spatial annotation	eurexpress	in situ	T1793	14.5 dpc	Ccl2	section	C57BL/6
TS15	EMAGE:1016	only anatomy term annotation	mgi	in situ	MGI:1101193	9.5 dpc	Pax3	sectioned wholemount	
TS23	EMAGE:10160	wholemount spatial annotation	eurexpress	in situ	T1795	14.5 dpc	Smc3	section	C57BL/6
TS23	EMAGE:10161	wholemount spatial annotation	eurexpress	in situ	T1797	14.5 dpc	Nhlrc2	section	C57BL/6
TS23	EMAGE:10162	wholemount spatial annotation	eurexpress	in situ	T50719	14.5 dpc	Nphs2	section	C57BL/6
TS23	EMAGE:10163	wholemount spatial annotation	eurexpress	in situ	T1801	14.5 dpc	Acyp2	section	C57BL/6
TS23	EMAGE:10164	wholemount spatial annotation	eurexpress	in situ	T1798	14.5 dpc	Ptpn22	section	C57BL/6
TS23	EMAGE:10165	wholemount spatial annotation	eurexpress	in situ	T1499	14.5 dpc	Zfp629	section	C57BL/6
TS23	EMAGE:7349	wholemount spatial annotation	eurexpress	in situ	T6451	14.5 dpc	Mrpl30	section	C57BL/6
TS23	EMAGE:10144	wholemount spatial annotation	eurexpress	in situ	T1690	14.5 dpc	P2rx3	section	C57BL/6
TS23	EMAGE:10145	wholemount spatial annotation	eurexpress	in situ	T1683	14.5 dpc	Rab24	section	C57BL/6
TS23	EMAGE:10146	wholemount spatial annotation	eurexpress	in situ	T402	14.5 dpc	Fap	section	C57BL/6
TS23	EMAGE:10147	wholemount spatial annotation	eurexpress	in situ	T1682	14.5 dpc	Nfe2	section	C57BL/6
TS15	EMAGE:1017	wholemount spatial annotation	mgi	in situ	MGI:1101193	9.5 dpc	Pax3	wholemount	unspecified
TS23	EMAGE:10170	wholemount spatial annotation	eurexpress	in situ	T2117	14.5 dpc	Spnb2	section	C57BL/6
TS23	EMAGE:10171	wholemount spatial annotation	eurexpress	in situ	T3568	14.5 dpc	Fam173b	section	C57BL/6
TS23	EMAGE:10172	wholemount spatial annotation	eurexpress	in situ	T3565	14.5 dpc	Wdr1	section	C57BL/6
TS23	EMAGE:10173	wholemount spatial annotation	eurexpress	in situ	T3730	14.5 dpc	Adprhl2	section	C57BL/6
TS23	EMAGE:10174	wholemount spatial annotation	eurexpress	in situ	T1799	14.5 dpc	Kbtbd4	section	C57BL/6
TS23	EMAGE:10175	wholemount spatial annotation	eurexpress	in situ	T1792	14.5 dpc	Ankrd13d	section	C57BL/6
TS23	EMAGE:10176	wholemount spatial annotation	eurexpress	in situ	T1754	14.5 dpc	Nfkb2	section	C57BL/6
TS23	EMAGE:10177	wholemount spatial annotation	eurexpress	in situ	T51031	14.5 dpc	Slc22a17	section	C57BL/6
TS23	EMAGE:10178	wholemount spatial annotation	eurexpress	in situ	T56030	14.5 dpc	Slc22a4	section	C57BL/6
TS23	EMAGE:10179	wholemount spatial annotation	eurexpress	in situ	T56037	14.5 dpc	Slc16a2	section	C57BL/6
TS18	EMAGE:1018	3D spatial annotation	mgi	in situ	MGI:1332436	10.5 dpc	Pax3	wholemount plus section of wholemount	unspecified
TS23	EMAGE:10180	wholemount spatial annotation	eurexpress	in situ	T1496	14.5 dpc	Mastl	section	C57BL/6
TS23	EMAGE:10181	wholemount spatial annotation	eurexpress	in situ	T1744	14.5 dpc	Pilra	section	C57BL/6
TS23	EMAGE:10182	wholemount spatial annotation	eurexpress	in situ	T2202	14.5 dpc	Slc7a8	section	C57BL/6
TS23	EMAGE:10183	wholemount spatial annotation	eurexpress	in situ	T2203	14.5 dpc	Slc12a8	section	C57BL/6
TS23	EMAGE:10184	wholemount spatial annotation	eurexpress	in situ	T2210	14.5 dpc	Tubgcp2	section	C57BL/6
TS23	EMAGE:10185	wholemount spatial annotation	eurexpress	in situ	T2195	14.5 dpc	Mmp17	section	C57BL/6
TS23	EMAGE:10186	wholemount spatial annotation	eurexpress	in situ	T2132	14.5 dpc	Cdhr5	section	C57BL/6
TS23	EMAGE:10187	wholemount spatial annotation	eurexpress	in situ	T51024	14.5 dpc	Snai1	section	C57BL/6
TS23	EMAGE:10166	wholemount spatial annotation	eurexpress	in situ	T1522	14.5 dpc	2410004A20Rik	section	C57BL/6
TS23	EMAGE:10167	wholemount spatial annotation	eurexpress	in situ	T1681	14.5 dpc	Rpl27a	section	C57BL/6
TS23	EMAGE:10168	wholemount spatial annotation	eurexpress	in situ	T1758	14.5 dpc	Glt8d1	section	C57BL/6
TS23	EMAGE:10169	wholemount spatial annotation	eurexpress	in situ	T1510	14.5 dpc	Pde10a	section	C57BL/6
TS23	EMAGE:10191	wholemount spatial annotation	eurexpress	in situ	T91	14.5 dpc	Apba3	section	C57BL/6
TS23	EMAGE:10192	wholemount spatial annotation	eurexpress	in situ	T50974	14.5 dpc	Rspo4	section	C57BL/6
TS23	EMAGE:10193	wholemount spatial annotation	eurexpress	in situ	T1471	14.5 dpc	Ndufb3	section	C57BL/6
TS23	EMAGE:10194	wholemount spatial annotation	eurexpress	in situ	T1648	14.5 dpc	Slc25a24	section	C57BL/6
TS23	EMAGE:10195	wholemount spatial annotation	eurexpress	in situ	T50929	14.5 dpc	Rhag	section	C57BL/6
TS23	EMAGE:10196	wholemount spatial annotation	eurexpress	in situ	T1472	14.5 dpc	Atp6v1b1	section	C57BL/6
TS23	EMAGE:10197	wholemount spatial annotation	eurexpress	in situ	T1466	14.5 dpc	Cdc42	section	C57BL/6
TS23	EMAGE:10198	wholemount spatial annotation	eurexpress	in situ	T1474	14.5 dpc	Pgk1-rs7	section	C57BL/6
TS23	EMAGE:10199	wholemount spatial annotation	eurexpress	in situ	T1474	14.5 dpc	Pgk1	section	C57BL/6
TS12	EMAGE:102	wholemount spatial annotation	mgi	in situ	MGI:23226	8.5 dpc	Otx2	wholemount	
TS17	EMAGE:1020	wholemount spatial annotation	mgi	in situ	MGI:1101193	10.5 dpc	Pax3	wholemount	C3H/101 x CBA/Ca
TS23	EMAGE:10200	wholemount spatial annotation	eurexpress	in situ	T1463	14.5 dpc	Nutf2	section	C57BL/6
TS23	EMAGE:10201	wholemount spatial annotation	eurexpress	in situ	T1476	14.5 dpc	Hsp90b1	section	C57BL/6
TS23	EMAGE:10202	wholemount spatial annotation	eurexpress	in situ	T1461	14.5 dpc	Eif2b1	section	C57BL/6
TS23	EMAGE:10203	wholemount spatial annotation	eurexpress	in situ	T2260	14.5 dpc	Arf4	section	C57BL/6
TS23	EMAGE:10204	wholemount spatial annotation	eurexpress	in situ	T1459	14.5 dpc	Ugt3a1	section	C57BL/6
